code_off	method	pair_index	cipher_len	key_len	plaintext
0x4bcfe8	Lสۥ۠ۦ/สۥ۟ۢ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	0	36	10	plugins.flutter.io/google_mobile_ads
0x4bcfe8	Lสۥ۠ۦ/สۥ۟ۢ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	1	46	10	plugins.flutter.io/google_mobile_ads/ad_widget
0x492e3c	Lสۥ۠ۤۧ/สۥ۟۠ۢ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	0	20	10	flutterPluginBinding
0x492e3c	Lสۥ۠ۤۧ/สۥ۟۠ۢ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	1	4	10	ksad
0x4e9de8	Lสۥۡۨ/สۥ۟۠ۢ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	0	30	10	plugins.hetian.me/gdt_plugins
0x4e9de8	Lสۥۡۨ/สۥ۟۠ۢ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	1	32	10	plugins.hetian.me/gdtview_banner
0x4e9de8	Lสۥۡۨ/สۥ۟۠ۢ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	2	32	10	plugins.hetian.me/gdtview_native
0x4c8d00	Lสۥ۠ۦۧ/สۥ۟۟ۡ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	0	18	10	flutter_pangle_ads
0x4c8d00	Lสۥ۠ۦۧ/สۥ۟۟ۡ;->ۥ้้้้้้้้้้้้้้้้้้้้้้۟۟ۡ(Lสۦۣ۟ۡ/สۥ۟۟ۡ$สۥ۟۠ۢ;)V	1	24	10	flutter_pangle_ads_event
